"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"record_id","soco_jc_survey","","text","Record ID","","","","","","","","","","","","",""
"who_are_you","soco_jc_survey","Question 1","radio","Which of the following best describes you?","Medical_Oncologist, Medical Oncologist | Medical_Dermatologist, Medical Dermatologist | Surgical_Oncologist, Surgical Oncologist | Mohs_Surgeon, Mohs Surgeon | Radiation_Oncologist, Radiation Oncologist | Non__Clinician_Researcher, Non-Clinician Researcher | Student/Trainee, Student/Trainee | Advanced_Practice_Provider, Advanced Practice Provider | Other, Other","","","","","","","","","","","",""
"patients_per_month","soco_jc_survey","Question 2","radio","How many high risk CSCC patients do you see each month?","1__2, 1-2 | 3__5, 3-5 | 6__10, 6-10 | 11__20, 11-20 | >20, >20 | I_am_a_clinician_but_I_do_not_treat_CSCC, I am a clinician but I do not treat CSCC | I_am_not_a_clinician, I am not a clinician","","","","","","","","","","","",""
"used_nivo_ipi","soco_jc_survey","Question 3","radio","Have you ever used Nivo + Ipi in the preoperative setting for high risk resectable CSCC?","Yes, Yes | No, No | I_am_a_clinician_but_I_do_not_manage_CSCC_patients, I am a clinician but I do not manage CSCC patients | I_am_not_a_clinician, I am not a clinician","","","","","","","","","","","",""
"preferred_preop_agent","soco_jc_survey","Question 4","radio","What is your (or your team's) preferred preoperative agent for high risk resectable CSCC?","Cemiplimab, Cemiplimab | Pembrolizumab, Pembrolizumab | Nivolumab, Nivolumab | Nivo_plus_Ipi, Nivo plus Ipi | Other, Other | I_am_a_clinician_but_I_do_not_manage_CSCC_patients, I am a clinician but I do not manage CSCC patients | I_am_not_a_clinician, I am not a clinician","","","","","","","","","","","",""
"doses_before_surgery","soco_jc_survey","Question 5","radio","How many doses do you (or your team) typically give prior to surgery?","1, 1 | 2, 2 | 3, 3 | 4, 4 | Other, Other | I_am_a_clinician_but_I_do_not_manage_CSCC_patients, I am a clinician but I do not manage CSCC patients | I_am_not_a_clinician, I am not a clinician","","","","","","","","","","","",""
"surgery_decision","soco_jc_survey","Question 6","radio","If you embark on a neoadjuvant approach, does your team routinely take the patient to surgery or is that decision based on their response at a pre-surgical evaluation?","Routinely_take_to_surgery, Routinely take to surgery | Decision_based_on_response_at_pre__surgical_evaluation, Decision based on response at pre-surgical evaluation | I_am_a_clinician_but_I_do_not_manage_CSCC_patients, I am a clinician but I do not manage CSCC patients | I_am_not_a_clinician, I am not a clinician","","","","","","","","","","","",""
