"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"record_id","soco_jc_survey","","text","Record ID","","","","","","","","","","","","",""
"who_are_you","soco_jc_survey","Question 1","radio","Which of the following best describes you?","medical_oncologist, Medical Oncologist | medical_dermatologist, Medical Dermatologist | surgical_oncologist, Surgical Oncologist | mohs_surgeon, Mohs Surgeon | radiation_oncologist, Radiation Oncologist | non_clinician_researcher, Non-Clinician Researcher | student_trainee, Student/Trainee | advanced_practice_provider, Advanced Practice Provider | other, Other","","","","","","","","","","","",""
"patients_per_month","soco_jc_survey","Question 2","radio","How many high risk CSCC patients do you see each month?","1_2, 1-2 | 3_5, 3-5 | 6_10, 6-10 | 11_20, 11-20 | greater_than_20, >20 | i_am_a_clinician_but_i_do_not_treat_cscc, I am a clinician but I do not treat CSCC | i_am_not_a_clinician, I am not a clinician","","","","","","","","","","","",""
"used_nivo_ipi","soco_jc_survey","Question 3","radio","Have you ever used Nivo + Ipi in the preoperative setting for high risk resectable CSCC?","yes, Yes | no, No | i_am_a_clinician_but_i_do_not_manage_cscc_patients, I am a clinician but I do not manage CSCC patients | i_am_not_a_clinician, I am not a clinician","","","","","","","","","","","",""
"preferred_preop_agent","soco_jc_survey","Question 4","radio","What is your (or your team's) preferred preoperative agent for high risk resectable CSCC?","cemiplimab, Cemiplimab | pembrolizumab, Pembrolizumab | nivolumab, Nivolumab | nivo_plus_ipi, Nivo plus Ipi | other, Other | i_am_a_clinician_but_i_do_not_manage_cscc_patients, I am a clinician but I do not manage CSCC patients | i_am_not_a_clinician, I am not a clinician","","","","","","","","","","","",""
"doses_before_surgery","soco_jc_survey","Question 5","radio","How many doses do you (or your team) typically give prior to surgery?","1, 1 | 2, 2 | 3, 3 | 4, 4 | other, Other | i_am_a_clinician_but_i_do_not_manage_cscc_patients, I am a clinician but I do not manage CSCC patients | i_am_not_a_clinician, I am not a clinician","","","","","","","","","","","",""
"surgery_decision","soco_jc_survey","Question 6","radio","If you embark on a neoadjuvant approach, does your team routinely take the patient to surgery or is that decision based on their response at a pre-surgical evaluation?","routinely_take_to_surgery, Routinely take to surgery | decision_based_on_response_at_pre_surgical_evaluation, Decision based on response at pre-surgical evaluation | i_am_a_clinician_but_i_do_not_manage_cscc_patients, I am a clinician but I do not manage CSCC patients | i_am_not_a_clinician, I am not a clinician","","","","","","","","","","","",""
"barriers_nivo_ipi","soco_jc_survey","Question 7","checkbox","What barriers, if any, prevent you from using Nivo plus Ipi in the preoperative setting? (Select all that apply)","concerns_about_toxicity_or_tolerability, Concerns about toxicity or tolerability | cost_or_insurance_coverage_concerns, Cost or insurance coverage concerns | uncertainty_about_benefit_versus_risk, Uncertainty about benefit versus risk | not_fda_approved, Not FDA approved | not_recommended_by_guidelines, Not recommended by guidelines | i_have_no_concerns, I have no concerns | i_am_a_clinician_but_i_do_not_manage_cscc_patients, I am a clinician but I do not manage CSCC patients | i_am_not_a_clinician, I am not a clinician","","","","","","","","","","","",""
